City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,3.22,88,48,1.98,GS,1698593041
1,vila velha,-20.3297,-40.2925,31.97,51,0,7.2,BR,1698592958
2,tiassale,5.8983,-4.8283,31.0,60,58,0.84,CI,1698593042
3,nouadhibou,20.931,-17.0347,25.99,65,0,6.69,MR,1698593043
4,isafjordur,66.0755,-23.124,1.02,80,0,0.0,IS,1698592810
5,kirkwall,58.9848,-2.9587,8.03,76,40,8.23,GB,1698593044
6,kiunga,-6.1219,141.2906,23.04,100,100,0.65,PG,1698593044
7,wailua homesteads,22.0669,-159.378,21.44,84,20,3.6,US,1698593044
8,stephenville,32.2207,-98.2023,6.21,94,100,7.72,US,1698593044
9,bethel,41.3712,-73.414,11.05,87,100,2.57,US,1698593045
10,vilyuchinsk,52.9306,158.4028,3.85,78,61,0.88,RU,1698593045
11,invercargill,-46.4,168.35,4.45,93,94,0.89,NZ,1698593045
12,gadzhiyevo,69.2551,33.3362,-7.42,91,100,1.39,RU,1698593045
13,chos malal,-37.3781,-70.2709,8.12,63,90,13.01,AR,1698593046
14,olonkinbyen,70.9221,-8.7187,0.02,69,100,0.97,SJ,1698593046
15,harstad,68.799,16.5293,0.09,92,92,1.34,NO,1698593046
16,avarua,-21.2078,-159.775,22.03,68,100,3.09,CK,1698593047
17,jagtial,18.8,78.9333,22.5,59,0,0.51,IN,1698593047
18,port-aux-francais,-49.35,70.2167,3.33,97,100,6.99,TF,1698593047
19,hawaiian paradise park,19.5933,-154.9731,21.13,92,0,3.09,US,1698593047
20,dudinka,69.4058,86.1778,-15.74,92,63,5.81,RU,1698593048
21,afaahiti,-17.75,-149.2833,22.93,82,42,6.61,PF,1698592996
22,dolores,-36.3132,-57.6792,18.99,73,100,3.23,AR,1698593048
23,karratha,-20.7377,116.8463,27.72,68,100,5.32,AU,1698593048
24,punta arenas,-53.15,-70.9167,8.06,36,40,8.75,CL,1698593048
25,buchanan,5.8808,-10.0467,29.01,71,15,3.69,LR,1698593049
26,pochinok,54.4068,32.4407,0.96,80,100,2.97,RU,1698593049
27,hamamatsu,34.7,137.7333,13.9,65,0,0.89,JP,1698593049
28,pingliang,35.5392,106.6861,13.04,58,13,2.12,CN,1698593050
29,chibougamau,49.9168,-74.3659,-3.21,63,100,4.63,CA,1698593050
30,atafu village,-8.5421,-172.5159,28.98,72,90,6.17,TK,1698593050
31,tralee,52.2704,-9.7026,10.14,93,20,0.51,IE,1698593050
32,hastings,50.8552,0.5729,13.07,43,71,13.03,GB,1698593001
